city,amount,candidate
"New York, NY",140766.13,cooper
"Washington, DC",51840.42,cooper
"San Francisco, CA",24057.78,cooper
"Los Angeles, CA",19533,cooper
"Atlanta, GA",18468.22,cooper
"Brooklyn, NY",16255.18,cooper
"Philadelphia, PA",13401,cooper
"Seattle, WA",11955,cooper
"Santa Fe, NM",10700,cooper
"Woodside, CA",10700,cooper
"Fort Lauderdale, FL",43300,mccrory
"Grosse Pointe Farms, MI",40800,mccrory
"Atlanta, GA",34800,mccrory
"Washington, DC",32700,mccrory
"Dallas, TX",29500,mccrory
"New York, NY",14265,mccrory
"Salinas, CA",12700,mccrory
"Richmond, VA",12500,mccrory
"Grosse Pointe Park, MI",10700,mccrory
"Hinsdale, IL",10200,mccrory
