state,cooper,mccrory,total
AK,1310,0,1310
AL,319,3580,3899
AR,700,4700,5400
AZ,5585,5100,10685
CA,109827.03,21960,131787.03
CO,16740,10495,27235
CT,20605,5500,26105
DC,51390.42,32700,84090.42
DE,5200,1000,6200
FL,39694.55,300,39994.55
GA,22868.22,69491.16,92359.38
HI,3005,0,3005
IA,110,0,110
ID,225,300,525
IL,13071.35,26631,39702.35
IN,863.3,5230,6093.3
KS,25,5165,5190
KY,875,5350,6225
LA,925,5000,5925
MA,19224.09,1000,20224.09
MD,18523.62,11254,29777.62
ME,5472,0,5472
MI,14099,62700,76799
MN,3069.55,1000,4069.55
MO,8505,15550,24055
MS,140,5750,5890
MT,200,0,200
ND,700,0,700
NE,30,10300,10330
NH,0,0,0
NJ,13792.3,618,14410.3
NM,11150,500,11650
NV,1090,2699,3789
NY,207679.31,16580,224259.31
OH,8032.85,6240,14272.85
OK,915,0,915
OR,1050,0,1050
PA,23015,6250,29265
RI,400,0,400
SC,21462.13,21575.94,43038.07
SD,500,0,500
TN,24317.45,19300,43617.45
TX,10041.2,49275,59316.2
UT,3343,0,3343
VA,38416.75,52132,90548.75
VT,1662,0,1662
WA,14151,1100,15251
WI,5565,85,5650
WV,355,1000,1355
WY,1150,5100,6250
